"Timestamp","What are your threads? (Pick 2)","CS Course difficulty [CS 1301 (Intro to programming)]","CS Course difficulty [CS 1331 (Intro to Object Oriented)]","CS Course difficulty [CS 1332 (Data structures & Algs)]","CS Course difficulty [CS 2050 (Discrete Math, or 1050)]","CS Course difficulty [CS 2051 (Honors Discrete math)]","CS Course difficulty [CS 2110 (Leahy's Class)]","CS Course difficulty [CS 2200 (Intro to Sys and Network)]","CS Course difficulty [CS 2261 (Leahy's class for CM)]","CS Course difficulty [CS 2340 (Objects and Design)]","CS Course difficulty [CS 3210 (Operating Systems)]","CS Course difficulty [CS 3220 (Processor Design)]","CS Course difficulty [CS 3240 (Languages and Computation)]","CS Course difficulty [CS 3251 (Networking One)]","CS Course difficulty [CS 3451 (Computer Graphics)]","CS Course difficulty [CS 3510 (Algorithms)]","CS Course difficulty [CS 3511 (Honors Algorithms)]","CS Course difficulty [CS 3600 (Intro AI)]","CS Course difficulty [CS 3630 (Robotics and Perception)]","CS Course difficulty [CS 3651 (Prototyping Intelligent Devices)]","CS Course difficulty [CS 3750 (UI design)]","CS Course difficulty [CS 4001 (Ethics)]","CS Course difficulty [CS 4002 (Robotic Ethics)]","CS Course difficulty [CS 4210 (Advanced OS)]","CS Course difficulty [CS 4220 (Embedded Systems)]","CS Course difficulty [CS 4235 (Intro Infosec)]","CS Course difficulty [CS 4240 (Compilers and Interpreters)]","CS Course difficulty [CS 4251 (Networking Two)]","CS Course difficulty [CS 4261 (Mobile Apps & Services)]","CS Course difficulty [CS 4290 (Advanced Computer Org)]","CS Course difficulty [CS 4400 (Databases)]","CS Course difficulty [CS 4420 (Database Implementation)]","CS Course difficulty [CS 4460 (Intro infoviz)]","CS Course difficulty [CS 4464 (Computational journalism)]","CS Course difficulty [CS 4475 (Computational Photography)]","CS Course difficulty [CS 4476 (Computer Vision)]","CS Course difficulty [CS 4496 (Computer Animation)]","CS Course difficulty [CS 4510 (Automata & Complexity)]","CS Course difficulty [CS 4540 (Advanced Algs)]","CS Course difficulty [CS 4590 (Computer Audio)]","CS Course difficulty [CS 4605 (Mobi/Ubicomp)]","CS Course difficulty [CS 4635 (KBAI)]","CS Course difficulty [CS 4641 (Machine Learning)]","CS Course difficulty [CS 4650 (NLP)]","CS Course difficulty [CS 4660 (Educational Tech)]","CS Course difficulty [CS 4675 (Internet Systems)]","CS Course difficulty [CS 4731 (Game AI)]","CS Course difficulty [CS 4770 (Mixed Reality Design)]","CS Course difficulty [Junior/Senior Design (3311 or 4911)]","CS Course difficulty [Undergraduate Research]","Core Course difficulty [ENGL 1101]","Core Course difficulty [ENGL 1102]","Core Course difficulty [Calculus 1]","Core Course difficulty [Calculus 2]","Core Course difficulty [Calculus 3 for CS]","Core Course difficulty [Intro Physics]","Core Course difficulty [Intro Chemistry]","Core Course difficulty [Intro Biology]","Core Course difficulty [Intro EAS]"
"2016/02/26 2:21:57 PM EST","Systems & Architecture;Intelligence","","Pretty Easy","Difficult","","Difficult","Difficult","Very Easy","Very Easy","Nearly Impossible","","","","","","","Pretty Easy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Difficult","","",""
"2016/02/26 2:23:20 PM EST","Intelligence;Theory","Very Easy","Pretty Easy","Average","","Average","Pretty Easy","","Very Easy","","","","","","Pretty Easy","","Average","Average","","","","","","","","","","","","","","","","","","","","Difficult","","","","Difficult","","","","","","Very Easy","","","Pretty Easy","Pretty Easy","","Average","Difficult","Average","","",""
"2016/02/26 2:24:42 PM EST","Intelligence;Theory","","Very Easy","Pretty Easy","Pretty Easy","","Average","","Average","","","","","","","Nearly Impossible","Average","Difficult","","Average","Average","","","","","","","","","Pretty Easy","","","","","Difficult","","Difficult","","","","","","","","","","","","","","Average","Average","","Pretty Easy","Pretty Easy","","","",""
"2016/02/26 2:24:47 PM EST","People","Pretty Easy","Pretty Easy","Difficult","Nearly Impossible","","","Average","Difficult","","","","","","","","","","","Pretty Easy","Very Easy","","","","","","","","","","","","","","","","","","Pretty Easy","Pretty Easy","","","","","","","","Pretty Easy","","","Very Easy","Very Easy","Average","Nearly Impossible","Pretty Easy","","Difficult","","Very Easy"
"2016/02/26 2:25:05 PM EST","Systems & Architecture;Info & Internetworks","Very Easy","Pretty Easy","Very Easy","Average","","Average","","Average","Nearly Impossible","Difficult","","Difficult","","Very Easy","","","","","","","","","","Average","","","","","Average","","","","","","","","","","","","","","","","","","Very Easy","","","Average","Average","Very Easy","Difficult","Nearly Impossible","Average","Average","Pretty Easy",""
"2016/02/26 2:25:29 PM EST","Intelligence;Info & Internetworks","","Pretty Easy","Average","","Average","Average","","Pretty Easy","","","","Difficult","","Difficult","","Average","Pretty Easy","","","","","","","","","","","","Pretty Easy","","Average","","","","","","","","","","Difficult","","","","","","Pretty Easy","","","","Pretty Easy","","Average","Difficult","Average","","","Pretty Easy"
"2016/02/26 2:28:34 PM EST","Info & Internetworks;Devices","","Pretty Easy","Average","Pretty Easy","","Average","Difficult","","Average","","","","Difficult","Average","Difficult","","Very Easy","","","","","","","","","Nearly Impossible","","","","Pretty Easy","","","","","","","","","","","","","","","","","","Average","","","Pretty Easy","","Difficult","Difficult","Average","","",""
"2016/02/26 2:30:56 PM EST","Media;People","Average","Average","Difficult","Average","","","","Pretty Easy","Pretty Easy","","","","","Difficult","","","","","","","Very Easy","","","","","","","","","Pretty Easy","","Pretty Easy","Pretty Easy","Average","Average","","","","","","","Difficult","","Average","","","","","Average","Pretty Easy","Pretty Easy","","Difficult","Average","Difficult","","","Average"
"2016/02/26 2:35:31 PM EST","I graduated long ago (None)","Pretty Easy","Average","Difficult","Average","","","","Difficult","Pretty Easy","","","","","Nearly Impossible","","","","","","Average","Average","","","","","","","","","","","","","","","","","","","Pretty Easy","","","","","","","","","Pretty Easy","","Average","Difficult","Nearly Impossible","Difficult","","","","Average"
"2016/02/26 2:36:15 PM EST","Systems & Architecture;Info & Internetworks","","Pretty Easy","Average","","Difficult","Difficult","Difficult","","Pretty Easy","Difficult","Nearly Impossible","Nearly Impossible","Difficult","","Difficult","","","","","","Pretty Easy","","","","Pretty Easy","","Average","","","Average","","","","","","","","","","","","","","","","","","Average","","Average","Average","","Difficult","","","","",""
